,city,lat,lng,temp,humidity,cloudiness,wind_spd,country
0,norman wells,65.28,-126.83,51.8,53.0,75.0,4.7,CA
1,mataura,-46.19,168.86,41.29,93.0,10.0,2.19,NZ
2,hermanus,-34.42,19.23,60.01,70.0,0.0,1.01,ZA
3,antibes,43.56,7.13,73.18,78.0,33.0,5.82,FR
4,kahului,20.89,-156.47,74.61,73.0,40.0,8.05,US
5,mahebourg,-20.41,57.7,73.4,69.0,40.0,18.34,MU
6,arraial do cabo,-22.97,-42.03,82.4,58.0,0.0,11.41,BR
7,adrar,20.5,-10.07,103.46,9.0,0.0,7.07,MR
8,punta arenas,-53.15,-70.92,42.39,87.0,90.0,11.41,CL
9,ushuaia,-54.8,-68.3,51.8,40.0,75.0,16.11,AR
10,kangaatsiaq,68.31,-53.46,37.54,78.0,53.0,18.12,GL
11,bluff,-46.6,168.33,51.21,79.0,38.0,9.35,NZ
12,khatanga,71.97,102.5,51.62,87.0,97.0,7.94,RU
13,carnarvon,-24.87,113.63,66.38,26.0,0.0,10.49,AU
14,rikitea,-23.12,-134.97,71.13,69.0,20.0,19.89,PF
15,jamestown,42.1,-79.24,62.58,82.0,90.0,8.05,US
16,butaritari,3.07,172.79,82.78,80.0,98.0,14.63,KI
18,sitka,57.05,-135.33,48.2,76.0,75.0,3.36,US
19,cape town,-33.93,18.42,60.37,63.0,0.0,8.05,ZA
21,knarvik,60.54,5.29,52.74,82.0,75.0,17.22,NO
22,kuruman,-27.45,23.43,55.99,57.0,0.0,4.14,ZA
23,albany,42.6,-73.97,78.4,56.0,2.0,2.08,US
24,atuona,-9.8,-139.03,80.17,78.0,13.0,15.48,PF
25,petropavlovsk-kamchatskiy,53.05,158.65,37.4,74.0,5.0,2.24,RU
26,kupino,54.37,77.3,62.13,42.0,54.0,7.52,RU
27,bucerias,20.75,-105.33,82.69,65.0,40.0,3.36,MX
28,jerantut,3.94,102.36,75.6,93.0,95.0,0.83,MY
29,pacific grove,36.62,-121.92,56.55,62.0,75.0,9.17,US
30,nalut,30.33,10.85,86.56,17.0,88.0,15.64,LY
31,pochutla,15.74,-96.47,89.6,52.0,20.0,8.68,MX
32,barrow,71.29,-156.79,24.8,85.0,1.0,18.34,US
33,tiksi,71.69,128.87,30.22,96.0,100.0,8.01,RU
34,jamui,24.92,86.22,83.52,68.0,0.0,13.47,IN
35,cherskiy,68.75,161.3,28.49,95.0,87.0,15.1,RU
36,kandrian,-6.22,149.55,78.33,89.0,50.0,3.44,PG
37,airai,-8.93,125.41,61.57,100.0,100.0,1.92,TL
38,new norfolk,-42.78,147.06,36.88,82.0,0.0,2.57,AU
40,tasiilaq,65.61,-37.64,41.0,75.0,90.0,28.86,GL
41,alim,9.56,122.49,82.53,72.0,100.0,2.17,PH
42,asyut,27.18,31.18,100.4,29.0,0.0,14.99,EG
43,avarua,-21.21,-159.78,77.0,83.0,100.0,13.87,CK
44,yellowknife,62.46,-114.35,46.4,52.0,75.0,8.05,CA
45,kirakira,-10.45,161.92,80.02,85.0,33.0,10.36,SB
46,bandarbeyla,9.49,50.81,84.43,71.0,20.0,26.08,SO
47,longyearbyen,78.22,15.64,30.6,93.0,26.0,1.99,SJ
48,mwense,-10.38,28.7,67.71,59.0,34.0,4.63,ZM
49,cidreira,-30.18,-50.21,68.38,92.0,100.0,2.77,BR
50,kodiak,57.79,-152.41,46.4,81.0,90.0,9.17,US
51,busselton,-33.65,115.33,47.66,56.0,100.0,11.12,AU
52,nador,35.17,-2.93,83.21,32.0,3.0,5.82,MA
53,port lincoln,-34.73,135.87,55.36,74.0,40.0,13.06,AU
54,mutsu,41.29,141.22,51.28,100.0,90.0,8.05,JP
55,kutum,14.2,24.67,86.58,17.0,53.0,4.18,SD
57,pemberton,50.32,-122.8,48.2,76.0,90.0,5.82,CA
58,oranjemund,-28.55,16.43,59.59,79.0,0.0,18.84,NA
59,hilo,19.73,-155.09,67.66,83.0,90.0,4.7,US
60,balkhash,46.84,74.98,69.84,39.0,56.0,10.83,KZ
61,hobyo,5.35,48.53,84.47,72.0,98.0,25.77,SO
62,kokstad,-30.55,29.42,53.67,61.0,0.0,3.44,ZA
63,shubarshi,48.59,57.19,73.4,40.0,35.0,14.94,KZ
64,provideniya,64.38,-173.3,35.56,88.0,99.0,9.46,RU
65,cay,38.59,31.03,46.11,69.0,100.0,12.97,TR
66,tuktoyaktuk,69.45,-133.04,33.8,74.0,5.0,9.17,CA
67,saint-philippe,-21.36,55.77,68.09,73.0,20.0,21.92,RE
68,manohar thana,24.24,76.8,92.59,15.0,0.0,10.33,IN
69,leningradskiy,69.38,178.42,25.0,95.0,0.0,2.75,RU
70,luau,-10.71,22.22,69.98,52.0,11.0,2.93,AO
71,hasaki,35.73,140.83,58.66,100.0,75.0,2.24,JP
72,hobart,-42.88,147.33,38.44,86.0,0.0,14.99,AU
73,novikovo,51.15,37.89,49.21,73.0,79.0,4.52,RU
74,ponta do sol,32.67,-17.1,69.94,65.0,39.0,4.0,PT
75,christchurch,-43.53,172.63,43.14,81.0,86.0,6.93,NZ
76,general jose eduvigis diaz,-27.17,-58.42,56.37,87.0,90.0,25.28,PY
77,beringovskiy,63.05,179.32,30.2,98.0,100.0,13.73,RU
